id,origin,destination,start_time,kind
0,0,0,961,Human
1,1,1,1542,Human
2,1,2,266,Human
3,2,3,1050,Human
4,3,4,1650,Human
5,4,5,170,Human
6,5,6,1019,Human
7,6,7,626,Human
8,7,8,1226,Human
9,8,9,57,Human
10,9,9,1072,Human
11,10,1,462,Human
12,11,10,55,Human
13,12,11,120,Human
14,13,12,396,Human
15,14,13,1479,Human
16,15,14,1759,Human
17,16,0,259,Human
18,17,15,84,Human
19,18,16,684,Human
20,19,17,34,Human
21,20,1,696,Human
22,21,18,594,Human
23,22,9,1095,Human
24,23,19,1668,Human
25,24,20,244,Human
26,25,9,253,Human
27,26,21,354,Human
28,27,22,133,Human
29,28,23,1735,Human
30,29,24,308,Human
31,28,16,252,Human
32,30,25,74,Human
33,31,26,674,Human
34,3,27,270,Human
35,32,28,759,Human
36,33,29,59,Human
37,34,1,1154,Human
38,35,30,436,Human
39,36,31,1733,Human
40,37,9,459,Human
41,12,1,1463,Human
42,38,32,1119,Human
43,39,27,717,Human
44,40,33,214,Human
45,41,11,740,Human
46,1,34,531,Human
47,42,1,718,Human
48,43,35,1103,Human
49,44,36,987,Human
50,45,9,1459,Human
51,46,37,53,Human
52,47,38,1021,Human
53,48,39,746,Human
54,49,40,866,Human
55,50,41,1319,Human
56,51,42,1109,Human
57,52,5,77,Human
58,53,5,720,Human
59,54,43,753,Human
60,55,44,180,Human
61,56,45,217,Human
62,57,38,358,Human
63,58,46,1564,Human
64,31,27,1799,Human
65,59,47,1558,Human
66,60,9,413,Human
67,61,1,207,Human
68,46,48,1707,Human
69,62,49,875,Human
70,19,50,995,Human
71,63,9,452,Human
72,64,9,62,Human
73,65,51,1562,Human
74,39,27,724,Human
75,63,52,1330,Human
76,66,23,348,Human
77,63,53,1170,Human
78,67,10,729,Human
79,68,37,1574,Human
80,69,27,1292,Human
81,63,15,763,Human
82,9,27,186,Human
83,70,17,469,Human
84,8,24,57,Human
85,71,9,760,Human
86,65,54,1660,Human
87,72,10,96,Human
88,73,55,20,Human
89,74,37,140,Human
90,75,56,1699,Human
91,76,14,609,Human
92,46,53,1456,Human
93,77,6,759,Human
94,78,15,1416,Human
95,79,15,1311,Human
96,8,14,1217,Human
97,64,27,1711,Human
98,80,57,993,Human
99,81,27,108,Human
100,82,10,1674,Human
101,8,27,723,Human
102,65,21,1541,Human
103,83,23,1205,Human
104,65,15,1135,Human
105,84,58,735,Human
106,85,58,816,Human
107,32,1,1736,Human
108,74,59,182,Human
109,86,60,1475,Human
110,87,0,1336,Human
111,65,61,1557,Human
112,88,62,718,Human
113,32,63,838,Human
114,89,9,841,Human
115,90,9,682,Human
116,91,9,1715,Human
117,92,64,632,Human
118,93,15,89,Human
119,17,65,870,Human
120,86,66,395,Human
121,94,1,538,Human
122,95,67,747,Human
123,8,68,1175,Human
124,96,9,722,Human
125,97,10,638,Human
126,98,9,593,Human
127,65,24,1193,Human
128,65,51,1724,Human
129,19,9,1567,Human
130,99,15,761,Human
131,100,9,137,Human
132,101,69,221,Human
133,102,70,197,Human
134,35,1,37,Human
135,14,9,1140,Human
136,103,15,913,Human
137,93,71,491,Human
138,104,72,978,Human
139,2,9,1085,Human
140,105,60,610,Human
141,106,1,801,Human
142,107,1,405,Human
143,108,49,450,Human
144,19,73,1050,Human
145,38,15,1404,Human
146,109,9,1455,Human
147,110,23,743,Human
148,24,9,1483,Human
149,15,74,497,Human
150,84,65,912,Human
151,6,22,422,Human
152,111,75,135,Human
153,112,1,682,Human
154,61,1,1740,Human
155,113,76,848,Human
156,114,16,933,Human
157,115,47,93,Human
158,116,77,216,Human
159,113,78,520,Human
160,117,79,1030,Human
161,16,5,553,Human
162,118,13,1737,Human
163,119,43,478,Human
164,120,80,1719,Human
165,121,74,457,Human
166,14,81,142,Human
167,122,82,924,Human
168,16,83,257,Human
169,123,62,1012,Human
170,16,5,238,Human
171,124,84,1130,Human
172,29,77,184,Human
173,3,5,812,Human
174,119,5,1171,Human
175,48,9,862,Human
176,125,6,1400,Human
177,126,43,592,Human
178,127,85,1572,Human
179,128,5,1249,Human
180,46,86,655,Human
181,111,37,276,Human
182,129,24,1600,Human
183,101,38,894,Human
184,130,1,1206,Human
185,104,37,974,Human
186,131,5,441,Human
187,132,87,791,Human
188,70,1,706,Human
189,6,88,1419,Human
190,101,89,1601,Human
191,12,74,848,Human
192,130,74,63,Human
193,133,89,14,Human
194,134,1,1444,Human
195,5,74,1304,Human
196,30,74,448,Human
197,135,6,1743,Human
198,42,87,592,Human
199,106,74,1542,Human
200,106,1,342,Human
201,1,89,1386,Human
202,136,74,497,Human
203,106,40,1051,Human
204,137,1,1244,Human
205,46,90,413,Human
206,51,56,77,Human
207,104,1,211,Human
208,46,55,597,Human
209,24,38,966,Human
210,80,82,1143,Human
211,38,36,153,Human
212,53,74,995,Human
213,56,7,919,Human
214,46,47,193,Human
215,33,33,66,Human
216,46,38,406,Human
217,138,91,1083,Human
218,139,92,699,Human
219,140,6,947,Human
220,141,36,105,Human
221,142,38,763,Human
222,118,38,924,Human
223,141,43,823,Human
224,6,6,1636,Human
225,143,34,407,Human
226,141,5,1257,Human
227,84,93,1317,Human
228,144,78,283,Human
229,109,94,1776,Human
230,145,5,438,Human
231,77,5,242,Human
232,46,92,553,Human
233,108,95,1034,Human
