id,origin,destination,start_time,kind
0,0,0,842,Human
1,1,1,1119,Human
2,2,2,612,Human
3,3,3,1281,Human
4,4,4,9,Human
5,5,5,450,Human
6,6,6,442,Human
7,7,7,1210,Human
8,8,8,1357,Human
9,9,9,101,Human
10,10,10,572,Human
11,11,11,926,Human
12,12,3,875,Human
13,13,12,1184,Human
14,14,13,321,Human
15,15,14,1470,Human
16,16,14,692,Human
17,17,14,857,Human
18,18,15,1088,Human
19,19,16,1546,Human
20,20,8,531,Human
21,21,17,1206,Human
22,22,18,1265,Human
23,23,19,520,Human
24,9,20,1226,Human
25,24,15,663,Human
26,25,7,1650,Human
27,26,21,1619,Human
28,27,22,89,Human
29,28,23,175,Human
30,29,24,1732,Human
31,30,25,397,Human
32,31,26,345,Human
33,32,27,1245,Human
34,33,28,1375,Human
35,34,29,103,Human
36,35,30,955,Human
37,36,31,342,Human
38,37,8,180,Human
39,20,32,1141,Human
40,38,33,195,Human
41,39,29,553,Human
42,40,3,545,Human
43,41,34,72,Human
44,42,35,672,Human
45,43,36,95,Human
46,33,37,146,Human
47,44,6,716,Human
48,45,38,1330,Human
49,46,39,446,Human
50,47,40,100,Human
51,48,41,911,Human
52,46,7,586,Human
53,49,3,1207,Human
54,50,42,1371,Human
55,51,9,1627,Human
56,52,43,1469,Human
57,53,3,730,Human
58,54,44,1318,Human
59,55,18,1015,Human
60,56,45,232,Human
61,57,46,590,Human
62,58,47,1790,Human
63,59,18,494,Human
64,60,48,1468,Human
65,61,49,1652,Human
66,62,9,1305,Human
67,63,50,1790,Human
68,23,51,549,Human
69,64,52,63,Human
70,65,3,737,Human
71,66,22,1248,Human
72,20,18,381,Human
73,67,53,674,Human
74,68,54,818,Human
75,69,8,1729,Human
76,70,18,385,Human
77,71,55,1585,Human
78,72,56,1250,Human
79,73,57,714,Human
80,25,58,393,Human
81,74,59,993,Human
82,75,36,211,Human
83,23,60,1111,Human
84,76,61,117,Human
85,77,62,317,Human
86,78,63,1544,Human
87,5,44,473,Human
88,79,64,257,Human
89,80,65,872,Human
90,81,66,590,Human
91,58,21,1660,Human
92,82,39,743,Human
93,83,67,340,Human
94,84,68,813,Human
95,31,69,1312,Human
96,85,70,1004,Human
97,86,71,24,Human
98,84,69,1263,Human
99,87,72,148,Human
100,88,73,1366,Human
101,89,74,1242,Human
102,90,73,1410,Human
103,76,75,1394,Human
104,91,43,4,Human
105,92,76,1698,Human
106,93,77,582,Human
107,94,70,635,Human
108,95,77,18,Human
109,96,73,1006,Human
110,23,78,142,Human
111,23,79,66,Human
112,97,80,1095,Human
113,98,81,896,Human
114,82,8,627,Human
115,99,17,1287,Human
116,100,82,399,Human
117,72,83,1212,Human
118,29,6,998,Human
119,101,9,1386,Human
120,9,84,1262,Human
121,59,32,939,Human
122,50,85,567,Human
123,102,77,697,Human
124,103,86,979,Human
125,104,77,711,Human
126,105,57,514,Human
127,70,70,617,Human
128,97,55,1517,Human
129,68,87,1336,Human
130,27,77,1798,Human
131,106,88,241,Human
132,107,77,62,Human
133,108,89,1724,Human
134,72,1,970,Human
135,29,65,251,Human
136,67,63,57,Human
137,81,90,200,Human
138,109,15,1521,Human
139,110,61,1548,Human
140,50,73,1543,Human
141,111,91,880,Human
142,112,92,862,Human
143,113,41,1383,Human
144,114,85,1283,Human
145,115,57,146,Human
146,58,15,780,Human
147,116,77,1289,Human
148,117,93,99,Human
149,16,7,502,Human
150,25,65,365,Human
151,118,94,562,Human
152,119,95,1222,Human
153,49,96,759,Human
154,15,22,1297,Human
155,120,97,276,Human
156,121,73,693,Human
157,122,98,355,Human
158,123,8,368,Human
159,106,65,962,Human
160,124,99,653,Human
161,125,100,450,Human
162,126,101,971,Human
163,69,102,1518,Human
164,127,74,438,Human
165,128,103,890,Human
166,129,104,1130,Human
167,130,105,1134,Human
168,131,106,234,Human
169,132,107,1459,Human
170,133,108,1633,Human
171,134,109,1153,Human
172,39,22,594,Human
173,135,63,1075,Human
174,106,77,629,Human
175,136,110,989,Human
176,23,111,1059,Human
177,137,36,1299,Human
178,21,8,1576,Human
179,32,112,450,Human
180,74,63,1241,Human
181,138,113,306,Human
182,139,114,1206,Human
183,140,78,466,Human
184,105,115,635,Human
185,141,116,179,Human
186,142,117,656,Human
187,143,118,1436,Human
188,144,36,1239,Human
189,19,119,848,Human
190,145,7,882,Human
191,146,118,129,Human
192,147,120,729,Human
193,125,121,1167,Human
194,148,88,613,Human
195,44,122,405,Human
196,149,123,1185,Human
197,150,6,595,Human
198,151,124,641,Human
199,152,7,288,Human
200,153,16,1104,Human
201,154,125,504,Human
202,155,7,121,Human
203,156,126,851,Human
204,157,127,654,Human
205,69,128,654,Human
206,34,129,686,Human
207,158,130,414,Human
208,157,131,632,Human
209,159,132,1383,Human
210,160,73,1053,Human
211,131,133,1215,Human
212,161,88,1085,Human
213,162,91,1531,Human
214,0,134,1053,Human
215,150,16,527,Human
216,163,133,91,Human
217,80,128,28,Human
218,164,88,136,Human
219,165,18,1229,Human
220,166,135,38,Human
221,82,18,1393,Human
222,140,136,254,Human
223,167,132,979,Human
224,73,125,1717,Human
225,168,48,1158,Human
226,169,137,1757,Human
227,169,7,841,Human
228,69,138,1434,Human
229,160,7,1112,Human
230,170,139,654,Human
231,171,140,378,Human
232,67,141,1732,Human
233,172,142,1172,Human
234,82,30,950,Human
235,173,143,893,Human
236,174,144,218,Human
237,175,9,136,Human
238,176,69,819,Human
239,177,145,1727,Human
240,178,73,1650,Human
241,172,8,694,Human
242,9,26,656,Human
243,174,90,884,Human
244,118,9,316,Human
245,85,9,1501,Human
246,3,22,1443,Human
247,166,146,130,Human
248,28,147,25,Human
249,152,148,1465,Human
250,179,73,1169,Human
251,30,35,37,Human
252,41,149,1717,Human
253,180,11,151,Human
254,9,9,1236,Human
255,181,22,208,Human
256,182,22,854,Human
257,182,22,64,Human
258,49,22,469,Human
259,108,150,1069,Human
260,183,30,568,Human
261,174,69,1768,Human
262,184,30,844,Human
263,100,26,1006,Human
264,185,103,764,Human
265,121,103,845,Human
266,108,151,837,Human
267,165,30,998,Human
268,186,8,1394,Human
269,7,3,811,Human
270,109,152,321,Human
271,30,153,681,Human
272,50,23,1103,Human
273,50,18,959,Human
274,9,58,615,Human
275,49,30,1666,Human
276,50,30,1409,Human
277,187,18,920,Human
278,71,154,1520,Human
279,188,8,236,Human
280,183,26,500,Human
281,183,103,130,Human
282,189,50,276,Human
283,190,30,913,Human
284,191,40,133,Human
285,192,155,430,Human
286,110,18,1036,Human
287,71,156,1636,Human
288,193,30,1220,Human
289,194,157,755,Human
290,182,98,87,Human
291,195,158,672,Human
292,60,22,140,Human
293,196,159,1084,Human
294,192,18,1743,Human
295,183,98,704,Human
296,177,160,333,Human
297,66,161,692,Human
298,129,28,319,Human
299,197,18,1041,Human
300,152,9,1076,Human
301,32,162,1063,Human
302,198,9,513,Human
303,199,163,369,Human
304,165,2,332,Human
305,174,164,1217,Human
306,199,30,203,Human
307,174,165,1103,Human
308,200,166,1326,Human
309,94,30,141,Human
310,141,167,1404,Human
311,201,168,276,Human
312,202,42,792,Human
313,174,169,910,Human
314,148,154,1072,Human
315,203,170,1151,Human
316,20,8,599,Human
317,190,171,1340,Human
318,204,163,816,Human
319,78,77,273,Human
320,205,73,1180,Human
321,174,172,301,Human
322,206,40,1059,Human
323,31,173,1659,Human
324,207,27,864,Human
325,208,174,133,Human
326,50,105,87,Human
327,209,125,446,Human
328,210,98,866,Human
329,107,40,333,Human
330,31,175,105,Human
331,211,40,1644,Human
332,122,14,1368,Human
333,212,14,1064,Human
334,71,14,298,Human
335,213,9,1264,Human
336,214,8,973,Human
337,215,159,202,Human
338,112,98,350,Human
339,159,22,425,Human
340,216,171,402,Human
341,217,176,1062,Human
342,218,26,1631,Human
343,219,30,79,Human
344,220,177,1605,Human
345,221,78,619,Human
346,222,30,322,Human
347,223,14,775,Human
348,174,169,1227,Human
349,224,28,632,Human
350,225,30,1759,Human
351,152,178,971,Human
352,69,171,697,Human
353,217,73,1357,Human
354,226,179,568,Human
355,78,180,418,Human
356,227,30,797,Human
357,228,161,1744,Human
358,229,181,1665,Human
359,230,182,428,Human
360,231,183,1628,Human
361,232,184,1351,Human
362,167,30,1148,Human
363,107,54,1649,Human
364,233,84,1047,Human
365,58,78,1745,Human
366,91,185,1163,Human
367,21,186,111,Human
368,221,187,434,Human
369,212,96,696,Human
370,234,73,1584,Human
371,142,8,1655,Human
372,151,188,842,Human
373,142,8,1124,Human
374,157,189,1449,Human
375,16,190,378,Human
376,235,48,1498,Human
377,236,132,632,Human
378,237,191,1532,Human
379,238,192,1674,Human
380,239,193,723,Human
381,214,168,76,Human
382,217,194,1457,Human
383,69,195,85,Human
384,21,196,1426,Human
385,21,197,809,Human
386,234,101,813,Human
387,48,40,1663,Human
388,240,198,195,Human
389,158,171,411,Human
390,241,48,1234,Human
391,242,70,1030,Human
392,243,190,1625,Human
393,244,199,11,Human
394,245,200,727,Human
395,246,48,692,Human
396,247,74,356,Human
397,155,74,313,Human
398,237,201,257,Human
399,248,148,1460,Human
400,249,202,32,Human
401,9,145,1575,Human
402,221,70,73,Human
403,250,203,1103,Human
404,50,95,1505,Human
405,251,40,185,Human
406,58,88,639,Human
407,220,204,561,Human
408,252,73,1070,Human
409,57,78,1374,Human
410,125,41,122,Human
411,106,73,1284,Human
412,253,182,1730,Human
413,254,78,1411,Human
414,255,15,1787,Human
415,183,96,797,Human
416,198,189,1003,Human
417,44,98,1388,Human
418,256,205,862,Human
419,233,74,1755,Human
420,105,10,1075,Human
421,257,88,1428,Human
422,258,206,1391,Human
423,194,73,1254,Human
424,214,200,1411,Human
425,259,44,1158,Human
426,186,207,580,Human
427,128,2,1638,Human
428,260,208,791,Human
429,69,206,1449,Human
430,151,203,1412,Human
431,261,54,1433,Human
432,164,132,434,Human
433,262,65,433,Human
434,178,209,1234,Human
435,92,125,1259,Human
436,263,177,575,Human
437,130,105,170,Human
438,168,46,1555,Human
439,157,210,65,Human
440,264,48,639,Human
441,265,44,1748,Human
442,257,190,1501,Human
443,118,211,810,Human
444,91,201,1700,Human
445,88,44,422,Human
446,266,54,37,Human
447,36,212,1631,Human
448,263,44,663,Human
449,229,213,1126,Human
450,42,54,714,Human
451,267,214,1694,Human
452,268,183,1612,Human
453,257,206,396,Human
454,142,194,1034,Human
455,269,44,189,Human
456,270,215,1439,Human
457,270,216,1085,Human
458,271,217,1058,Human
459,250,148,1431,Human
460,272,218,1395,Human
461,80,219,1599,Human
462,144,216,1214,Human
463,47,220,614,Human
464,143,6,1612,Human
465,273,221,181,Human
466,272,85,78,Human
467,274,132,990,Human
468,152,222,1626,Human
469,274,223,594,Human
470,275,224,1117,Human
471,150,74,1586,Human
472,276,225,270,Human
473,277,74,1528,Human
474,214,226,390,Human
475,278,118,735,Human
476,128,128,398,Human
477,279,73,1330,Human
478,280,78,886,Human
479,281,88,899,Human
480,282,138,1476,Human
481,131,227,1197,Human
482,142,12,463,Human
483,44,228,265,Human
