id,origin,destination,start_time,kind
0,0,0,1517,Human
1,1,1,1532,Human
2,2,2,1150,Human
3,3,3,1794,Human
4,4,4,247,Human
5,5,5,673,Human
6,6,6,1510,Human
7,7,7,1753,Human
8,8,8,549,Human
9,9,9,1749,Human
10,10,10,777,Human
11,11,11,691,Human
12,12,12,1171,Human
13,13,13,508,Human
14,14,14,219,Human
15,15,15,165,Human
16,16,16,1365,Human
17,14,17,1396,Human
18,17,18,1544,Human
19,18,19,76,Human
20,19,0,773,Human
21,20,20,1373,Human
22,21,21,540,Human
23,22,14,249,Human
24,23,22,211,Human
25,24,23,210,Human
26,25,24,897,Human
27,26,25,1497,Human
28,27,26,730,Human
29,28,0,1678,Human
30,29,27,1526,Human
31,30,28,36,Human
32,31,29,391,Human
33,32,30,971,Human
34,33,31,187,Human
35,34,32,321,Human
36,35,33,177,Human
37,36,34,1011,Human
38,37,35,449,Human
39,38,36,1441,Human
40,39,21,1470,Human
41,40,37,246,Human
42,41,38,498,Human
43,42,36,1625,Human
44,43,34,43,Human
45,44,33,1367,Human
46,45,1,630,Human
47,46,39,1318,Human
48,47,40,1178,Human
49,48,41,272,Human
50,49,42,238,Human
51,50,43,1703,Human
52,16,44,1696,Human
53,51,45,534,Human
54,52,34,1117,Human
55,53,46,632,Human
56,54,47,1150,Human
57,55,48,1568,Human
58,56,34,324,Human
59,57,49,924,Human
60,58,50,1388,Human
61,59,51,1633,Human
62,60,52,1395,Human
63,61,53,498,Human
64,14,54,189,Human
65,62,55,511,Human
66,63,33,870,Human
67,20,56,1281,Human
68,64,57,181,Human
69,65,58,1368,Human
70,66,59,27,Human
71,67,60,886,Human
72,68,61,109,Human
73,52,62,492,Human
74,69,63,1692,Human
75,70,64,488,Human
76,71,65,110,Human
77,2,66,543,Human
78,72,67,1149,Human
79,73,68,30,Human
80,74,14,732,Human
81,75,69,313,Human
82,76,70,946,Human
83,32,71,1228,Human
84,77,38,707,Human
85,78,34,1485,Human
86,79,33,1334,Human
87,65,72,1343,Human
88,13,73,144,Human
89,2,74,215,Human
90,80,75,521,Human
91,81,59,294,Human
92,73,76,1494,Human
93,28,77,1170,Human
94,82,78,427,Human
95,83,79,284,Human
96,84,35,764,Human
97,85,57,860,Human
98,86,80,506,Human
99,87,81,209,Human
100,88,82,1575,Human
101,89,83,335,Human
102,90,10,504,Human
103,91,84,1557,Human
104,92,85,76,Human
105,93,50,777,Human
106,94,86,409,Human
107,95,87,1420,Human
108,96,88,951,Human
109,65,89,1505,Human
110,97,59,1633,Human
111,98,3,605,Human
112,99,87,823,Human
113,83,26,563,Human
114,46,35,1763,Human
115,100,90,98,Human
116,101,91,1298,Human
117,79,33,296,Human
118,79,92,1742,Human
119,39,93,1164,Human
120,102,94,1211,Human
121,71,95,1101,Human
122,103,96,1213,Human
123,104,97,229,Human
124,105,98,393,Human
125,106,99,1131,Human
126,107,28,441,Human
127,108,100,713,Human
128,109,101,1313,Human
129,110,94,1271,Human
130,111,102,1557,Human
131,112,21,1192,Human
132,113,103,115,Human
133,114,50,1687,Human
134,115,104,1108,Human
135,28,105,1378,Human
136,116,103,198,Human
137,117,43,349,Human
138,118,106,949,Human
139,119,107,902,Human
140,43,108,109,Human
141,120,109,782,Human
142,28,77,1022,Human
143,121,110,746,Human
144,122,7,1491,Human
145,123,105,1265,Human
146,124,81,1640,Human
147,125,3,1211,Human
148,126,111,1125,Human
149,32,17,1203,Human
150,121,112,544,Human
151,107,113,1144,Human
152,127,15,428,Human
153,80,114,125,Human
154,128,94,1592,Human
155,47,115,768,Human
156,129,116,715,Human
157,14,117,78,Human
158,130,118,923,Human
159,0,3,299,Human
160,131,37,1648,Human
161,132,81,1153,Human
162,65,119,1420,Human
163,133,15,398,Human
164,134,15,738,Human
165,16,120,408,Human
166,16,121,896,Human
167,79,15,59,Human
168,16,35,815,Human
169,79,15,474,Human
170,123,43,17,Human
171,83,45,1079,Human
172,65,122,100,Human
173,135,123,175,Human
174,136,27,775,Human
175,65,124,416,Human
176,137,125,926,Human
177,138,35,1072,Human
178,139,126,1007,Human
179,79,127,840,Human
180,83,128,1246,Human
181,65,43,1022,Human
182,122,43,26,Human
183,106,129,566,Human
184,140,130,1450,Human
185,141,131,720,Human
186,142,121,1320,Human
187,8,132,643,Human
188,79,133,520,Human
189,118,17,14,Human
190,143,134,1277,Human
191,135,104,950,Human
192,79,135,853,Human
193,144,136,1412,Human
194,119,137,75,Human
195,145,100,1575,Human
196,146,138,1175,Human
197,115,59,685,Human
198,147,17,337,Human
199,148,10,895,Human
200,144,21,73,Human
201,149,139,1007,Human
202,150,140,1164,Human
203,46,77,1360,Human
204,65,19,1337,Human
205,110,5,1568,Human
206,151,16,1309,Human
