id,origin,destination,start_time,kind
0,0,0,384,Human
1,1,1,1344,Human
2,2,2,1470,Human
3,3,3,824,Human
4,4,4,586,Human
5,5,5,1486,Human
6,6,6,251,Human
7,7,7,906,Human
8,6,8,473,Human
9,8,9,718,Human
10,9,10,254,Human
11,10,11,335,Human
12,11,12,994,Human
13,12,13,1438,Human
14,13,14,544,Human
15,14,15,106,Human
16,15,16,1672,Human
17,16,17,969,Human
18,17,18,894,Human
19,18,8,1590,Human
20,19,19,407,Human
21,20,20,1084,Human
22,21,21,941,Human
23,22,14,239,Human
24,23,22,728,Human
25,24,14,619,Human
26,25,23,1096,Human
27,26,24,1385,Human
28,27,25,159,Human
29,28,26,260,Human
30,29,27,1318,Human
31,30,28,301,Human
32,31,29,583,Human
33,32,30,740,Human
34,22,31,1405,Human
35,33,32,628,Human
36,34,33,1301,Human
37,35,34,1263,Human
38,36,14,233,Human
39,37,35,1305,Human
40,38,36,741,Human
41,39,37,1701,Human
42,40,14,697,Human
43,41,38,1109,Human
44,42,39,1210,Human
45,43,14,1269,Human
46,44,40,669,Human
47,45,41,1570,Human
48,46,42,221,Human
49,47,43,1449,Human
50,48,41,267,Human
51,13,35,1526,Human
52,49,44,748,Human
53,50,45,254,Human
54,47,14,693,Human
55,51,14,237,Human
56,52,46,706,Human
57,53,47,677,Human
58,54,39,858,Human
59,55,48,1239,Human
60,56,39,716,Human
61,57,49,325,Human
62,58,41,960,Human
63,59,10,1096,Human
64,60,28,254,Human
65,61,9,231,Human
66,62,50,845,Human
67,63,41,1145,Human
68,64,51,75,Human
69,65,52,1569,Human
70,66,53,1329,Human
71,67,54,1121,Human
72,68,55,513,Human
73,69,56,638,Human
74,70,57,787,Human
75,71,39,621,Human
76,72,41,728,Human
77,44,58,183,Human
78,48,9,315,Human
79,73,47,230,Human
80,74,59,530,Human
81,75,60,699,Human
82,76,47,1656,Human
83,77,34,771,Human
84,76,61,366,Human
85,30,47,1584,Human
86,78,62,1519,Human
87,74,63,149,Human
88,79,47,197,Human
89,80,64,1292,Human
90,74,52,1574,Human
91,64,65,490,Human
92,81,66,235,Human
93,76,47,1393,Human
94,82,67,316,Human
95,83,38,159,Human
96,84,68,279,Human
97,64,69,631,Human
98,76,70,986,Human
99,85,37,97,Human
100,86,25,1383,Human
101,87,71,560,Human
102,88,72,819,Human
103,64,73,255,Human
104,89,74,855,Human
105,90,75,399,Human
106,15,76,1650,Human
107,87,70,1459,Human
108,44,69,44,Human
109,91,14,1413,Human
110,92,77,10,Human
111,93,71,486,Human
112,44,78,1266,Human
113,61,23,1469,Human
114,94,79,777,Human
115,95,80,1010,Human
116,96,81,586,Human
117,97,82,348,Human
118,98,41,384,Human
119,99,83,84,Human
120,42,14,219,Human
121,100,84,1654,Human
122,101,85,1234,Human
123,102,59,1375,Human
124,103,41,1173,Human
125,104,86,873,Human
126,23,8,1684,Human
127,105,10,1207,Human
128,106,14,1082,Human
129,107,87,1570,Human
130,34,63,182,Human
131,108,88,842,Human
132,109,89,580,Human
133,110,14,1332,Human
134,111,90,683,Human
135,112,91,1548,Human
136,109,34,1502,Human
137,113,34,43,Human
138,74,10,1626,Human
139,114,47,1326,Human
140,115,92,285,Human
141,116,41,324,Human
142,53,35,1331,Human
143,117,93,1596,Human
144,72,94,368,Human
145,118,95,356,Human
146,66,96,967,Human
147,77,9,177,Human
148,119,36,1599,Human
149,69,97,555,Human
150,59,98,46,Human
151,120,99,1634,Human
152,121,100,134,Human
153,107,101,109,Human
154,107,69,182,Human
155,50,70,1694,Human
156,122,102,245,Human
157,22,103,601,Human
158,123,104,111,Human
159,124,105,1311,Human
160,125,10,71,Human
161,126,23,1037,Human
162,127,103,561,Human
163,94,106,1173,Human
164,128,23,50,Human
165,101,107,838,Human
166,129,74,331,Human
167,26,108,319,Human
168,130,83,852,Human
169,40,109,1130,Human
170,9,110,126,Human
171,19,77,655,Human
172,90,23,1765,Human
173,6,111,549,Human
174,131,35,1363,Human
175,77,112,938,Human
176,132,113,440,Human
177,133,114,438,Human
178,19,115,1338,Human
179,134,41,1140,Human
180,30,65,1166,Human
181,131,103,373,Human
182,16,116,1041,Human
183,59,117,949,Human
184,92,41,649,Human
185,135,99,474,Human
186,136,63,716,Human
187,137,118,463,Human
188,138,77,1107,Human
189,139,71,728,Human
190,140,119,1298,Human
191,141,120,697,Human
192,116,121,323,Human
193,142,69,1764,Human
194,143,58,573,Human
195,144,113,480,Human
196,122,38,1576,Human
197,30,122,1601,Human
198,145,123,62,Human
199,146,124,662,Human
200,147,125,862,Human
201,148,40,539,Human
202,149,126,678,Human
203,15,127,940,Human
204,150,67,905,Human
205,103,38,1748,Human
206,109,128,1549,Human
207,116,128,213,Human
208,151,129,632,Human
209,44,130,403,Human
210,152,131,1641,Human
211,153,125,1030,Human
212,154,87,1487,Human
213,64,65,323,Human
214,15,113,1050,Human
215,110,132,1390,Human
216,155,133,97,Human
217,64,40,771,Human
218,154,134,285,Human
219,56,24,885,Human
220,156,41,1450,Human
221,143,71,672,Human
222,13,41,625,Human
223,157,9,1696,Human
224,158,135,132,Human
225,159,41,1744,Human
226,160,136,1444,Human
227,161,70,1178,Human
228,162,106,423,Human
229,163,9,731,Human
230,164,10,1153,Human
231,132,137,1782,Human
232,165,87,1220,Human
233,76,138,620,Human
234,166,119,818,Human
235,166,125,1657,Human
236,162,139,1375,Human
237,148,125,678,Human
238,66,140,1051,Human
239,158,137,745,Human
240,15,141,878,Human
241,167,142,681,Human
242,168,143,371,Human
243,34,19,793,Human
244,169,87,1393,Human
245,131,144,643,Human
246,114,47,504,Human
247,170,22,1779,Human
248,171,145,158,Human
249,144,146,363,Human
250,172,138,1206,Human
251,173,22,753,Human
252,45,147,1161,Human
253,174,126,1461,Human
254,6,148,428,Human
255,175,19,1170,Human
256,61,93,957,Human
257,61,117,1513,Human
258,176,87,1545,Human
259,177,149,246,Human
260,6,10,61,Human
261,178,117,186,Human
262,179,150,604,Human
263,180,151,1381,Human
264,181,152,1083,Human
265,169,153,149,Human
266,57,19,853,Human
267,182,33,53,Human
268,169,10,332,Human
269,22,154,655,Human
270,183,155,116,Human
271,169,156,91,Human
272,127,157,1136,Human
273,169,10,1149,Human
274,41,158,1672,Human
275,184,87,546,Human
276,185,93,111,Human
277,13,159,1311,Human
278,25,106,49,Human
