person_id,trip_index,departure_time,arrival_time,preceding_purpose,following_purpose,ox,oy,dx,dy,abm_region,age,employed,sex,socioprofessional_class,has_driving_license,has_pt_subscription,trip_id,origin_abm_region,destination_abm_region,inner_trip
2838901,2,60501.0,61101.0,work,other,2.22180384,49.10929049,2.2018852,49.11048621,18,65,True,female,2,True,False,611265,18.0,18.0,True
2840013,1,45640.0,45940.0,work,leisure,2.22046629,49.11194079,2.21921234,49.11057836,18,55,True,female,6,True,False,611326,18.0,18.0,True
2840013,2,48940.0,49240.0,leisure,work,2.21921234,49.11057836,2.22046629,49.11194079,18,55,True,female,6,True,False,611327,18.0,18.0,True
11440355,2,51707.0,52607.0,home,education,2.21102027,49.13388725,2.21892989,49.11468923,18,19,False,female,8,False,True,998473,18.0,18.0,True
11440355,3,55307.0,56207.0,education,home,2.21892989,49.11468923,2.21102027,49.13388725,18,19,False,female,8,False,True,998474,18.0,18.0,True
11458555,3,58870.0,59470.0,other,leisure,2.20585295,49.10816568,2.20484767,49.10553306,18,69,False,female,7,True,True,1480773,18.0,18.0,True
11458555,4,66670.0,67270.0,leisure,home,2.20484767,49.10553306,2.20435012,49.1091827,18,69,False,female,7,True,True,1480774,18.0,18.0,True
2853487,1,43561.0,43861.0,work,shop,2.24371733,49.12721096,2.24753704,49.12608986,18,53,True,female,4,True,False,1580324,18.0,18.0,True
2853487,2,45361.0,45661.0,shop,work,2.24753704,49.12608986,2.24371733,49.12721096,18,53,True,female,4,True,False,1580325,18.0,18.0,True
2853735,1,42761.0,43361.0,work,leisure,2.22070595,49.11827485,2.22684674,49.11427309,18,54,True,male,5,True,True,1580328,18.0,18.0,True
2853735,2,47561.0,48161.0,leisure,work,2.22684674,49.11427309,2.22070595,49.11827485,18,54,True,male,5,True,True,1580329,18.0,18.0,True
11306853,2,54320.0,54740.0,leisure,other,2.23022115,49.10842878,2.19792733,49.10895829,18,22,True,female,4,False,True,1580492,18.0,18.0,True
11406059,2,36185.0,37025.0,leisure,home,2.22800283,49.11443589,2.22557404,49.12051296,18,17,False,male,8,True,True,1580526,18.0,18.0,True
11406059,0,29525.0,32525.0,home,leisure,2.22557404,49.12051296,2.23022115,49.10842878,18,17,False,male,8,True,True,1580527,18.0,18.0,True
11406059,1,35225.0,36125.0,leisure,leisure,2.23022115,49.10842878,2.22800283,49.11443589,18,17,False,male,8,True,True,1580528,18.0,18.0,True
11406059,3,64925.0,65225.0,home,leisure,2.22557404,49.12051296,2.21738477,49.11061054,18,17,False,male,8,True,True,1580529,18.0,18.0,True
11406059,4,70625.0,71225.0,leisure,home,2.21738477,49.11061054,2.22557404,49.12051296,18,17,False,male,8,True,True,1580530,18.0,18.0,True
11408186,0,27948.0,28248.0,home,other,2.23959005,49.10999104,2.24615589,49.12400979,18,33,True,male,2,True,False,1580562,18.0,18.0,True
11408186,3,57648.0,57948.0,home,other,2.23959005,49.10999104,2.23219736,49.10431934,18,33,True,male,2,True,False,1580563,18.0,18.0,True
11408186,4,58248.0,58548.0,other,home,2.23219736,49.10431934,2.23959005,49.10999104,18,33,True,male,2,True,False,1580564,18.0,18.0,True
11408897,2,63191.0,64091.0,home,other,2.23141214,49.1061668,2.20617019,49.10390578,18,43,True,female,5,True,True,1580573,18.0,18.0,True
11408897,3,64151.0,65291.0,other,home,2.20617019,49.10390578,2.23141214,49.1061668,18,43,True,female,5,True,True,1580574,18.0,18.0,True
11409222,2,70428.0,71028.0,home,other,2.20665129,49.09814634,2.21472601,49.1184335,18,45,True,male,3,True,False,1580583,18.0,18.0,True
11409222,3,72828.0,73428.0,other,home,2.21472601,49.1184335,2.20665129,49.09814634,18,45,True,male,3,True,False,1580584,18.0,18.0,True
11411661,2,56668.0,56788.0,home,shop,2.22565298,49.11325801,2.22665681,49.12486348,18,22,True,female,4,True,False,1580597,18.0,18.0,True
11411661,3,61168.0,61288.0,shop,home,2.22665681,49.12486348,2.22565298,49.11325801,18,22,True,female,4,True,False,1580598,18.0,18.0,True
11411661,6,80068.0,80128.0,leisure,home,2.22665893,49.12462972,2.22565298,49.11325801,18,22,True,female,4,True,False,1580599,18.0,18.0,True
11411661,5,77068.0,77128.0,leisure,leisure,2.20842825,49.11371109,2.22665893,49.12462972,18,22,True,female,4,True,False,1580600,18.0,18.0,True
11411661,4,74668.0,74848.0,home,leisure,2.22565298,49.11325801,2.20842825,49.11371109,18,22,True,female,4,True,False,1580601,18.0,18.0,True
11412003,0,30837.0,31677.0,home,other,2.22997793,49.12123401,2.23343984,49.1075813,18,41,True,female,3,True,False,1580604,18.0,18.0,True
11412500,5,66697.0,67597.0,home,leisure,2.23581302,49.11207596,2.22771161,49.10979433,18,56,True,female,4,True,False,1580613,18.0,18.0,True
11412500,6,67597.0,68437.0,leisure,home,2.22771161,49.10979433,2.23581302,49.11207596,18,56,True,female,4,True,False,1580614,18.0,18.0,True
11414594,3,65355.0,65655.0,home,shop,2.22863411,49.11819609,2.23085984,49.11859645,18,36,False,male,4,True,False,1580625,18.0,18.0,True
