id,origin,destination,start_time,kind
0,0,0,1601,Human
1,1,1,733,Human
2,2,2,492,Human
3,3,3,1442,Human
4,4,4,516,Human
5,5,5,1014,Human
6,6,6,669,Human
7,7,7,1629,Human
8,8,8,1,Human
9,9,7,851,Human
10,10,9,1362,Human
11,11,10,477,Human
12,12,11,103,Human
13,13,12,1261,Human
14,14,13,1739,Human
15,15,14,214,Human
16,16,15,1206,Human
17,17,11,1627,Human
18,18,16,238,Human
19,19,17,17,Human
20,20,18,1055,Human
21,21,19,612,Human
22,22,20,94,Human
23,23,21,1137,Human
24,24,22,532,Human
25,25,23,1462,Human
26,26,24,1633,Human
27,27,19,1534,Human
28,28,25,541,Human
29,29,26,907,Human
30,30,27,1780,Human
31,31,28,9,Human
32,28,29,82,Human
33,32,30,262,Human
34,33,31,1240,Human
35,34,32,751,Human
36,35,33,1667,Human
37,36,34,282,Human
38,37,35,1338,Human
39,38,36,1753,Human
40,39,37,1092,Human
41,40,38,531,Human
42,41,39,1131,Human
43,42,40,1664,Human
44,43,41,1295,Human
45,44,42,1399,Human
46,32,43,1089,Human
47,45,44,1111,Human
48,46,45,336,Human
49,47,46,463,Human
50,48,47,1468,Human
51,49,48,580,Human
52,50,24,1684,Human
53,51,49,1627,Human
54,52,50,355,Human
55,53,51,582,Human
56,54,52,1738,Human
57,55,53,161,Human
58,56,54,1540,Human
59,57,55,251,Human
60,58,56,366,Human
61,59,57,1531,Human
62,60,58,1608,Human
63,21,59,948,Human
64,61,60,542,Human
65,62,61,1742,Human
66,63,62,1271,Human
67,64,63,1753,Human
68,65,64,954,Human
69,66,65,233,Human
70,56,66,1388,Human
71,67,29,836,Human
72,68,67,693,Human
73,69,68,1466,Human
74,70,69,761,Human
75,71,70,1361,Human
76,72,71,1751,Human
77,73,72,1485,Human
78,74,73,1593,Human
79,75,18,305,Human
80,76,74,1549,Human
81,77,75,1041,Human
82,78,76,1324,Human
83,79,77,1588,Human
84,80,78,166,Human
85,81,79,904,Human
86,82,80,1018,Human
87,83,74,352,Human
88,65,81,1252,Human
89,84,82,277,Human
90,85,83,553,Human
91,86,84,627,Human
92,87,85,1227,Human
93,88,24,354,Human
94,2,86,733,Human
95,89,21,1003,Human
96,90,87,1218,Human
97,91,88,1773,Human
98,92,89,1694,Human
99,93,90,1545,Human
100,94,91,1526,Human
101,95,92,625,Human
102,96,93,1585,Human
103,97,94,1644,Human
104,98,95,481,Human
105,6,96,1005,Human
106,99,97,78,Human
107,100,98,678,Human
108,101,99,1648,Human
109,102,100,390,Human
110,103,101,1361,Human
111,18,67,478,Human
112,104,102,1688,Human
113,105,103,1021,Human
114,73,100,1556,Human
115,106,35,814,Human
116,107,58,129,Human
117,108,104,1545,Human
118,109,105,1631,Human
119,110,90,1213,Human
120,111,78,62,Human
121,112,79,1126,Human
122,58,106,1015,Human
123,102,0,235,Human
124,113,72,183,Human
125,114,107,1596,Human
126,115,107,1770,Human
127,116,23,209,Human
128,117,108,754,Human
129,86,109,1474,Human
130,118,90,581,Human
131,119,110,80,Human
132,120,111,247,Human
133,121,55,1401,Human
134,122,112,255,Human
135,123,113,194,Human
136,124,114,1179,Human
137,64,101,965,Human
138,125,115,469,Human
