id,origin,destination,start_time,kind
0,0,0,1407,Human
1,1,1,680,Human
2,2,2,1227,Human
3,3,3,121,Human
4,4,4,516,Human
5,5,5,1116,Human
6,6,6,1093,Human
7,7,7,1031,Human
8,8,8,1631,Human
9,9,9,1370,Human
10,10,10,622,Human
11,11,11,997,Human
12,12,12,840,Human
13,13,13,714,Human
14,14,2,1511,Human
15,6,14,649,Human
16,15,9,1600,Human
17,16,15,1065,Human
18,17,16,270,Human
19,18,17,326,Human
20,19,18,61,Human
21,20,19,752,Human
22,21,20,1556,Human
23,22,21,40,Human
24,23,12,999,Human
25,24,22,244,Human
26,25,23,1775,Human
27,26,24,705,Human
28,27,12,1046,Human
29,28,25,114,Human
30,29,26,301,Human
31,30,27,194,Human
32,31,28,670,Human
33,32,29,1383,Human
34,33,12,1431,Human
35,34,12,1748,Human
36,35,30,284,Human
37,36,31,1184,Human
38,37,32,507,Human
39,38,12,1725,Human
40,39,33,1008,Human
41,40,34,1099,Human
42,41,0,1714,Human
43,42,21,854,Human
44,38,35,1766,Human
45,43,36,433,Human
46,44,37,843,Human
47,25,38,50,Human
48,45,39,410,Human
49,46,40,321,Human
50,47,30,149,Human
51,36,41,1649,Human
52,48,34,696,Human
53,44,12,1762,Human
54,36,40,854,Human
55,49,42,816,Human
56,17,8,254,Human
57,7,37,854,Human
58,42,43,182,Human
59,50,0,791,Human
60,32,38,742,Human
61,39,44,309,Human
62,51,45,767,Human
63,52,34,1667,Human
64,32,9,1095,Human
65,52,2,1459,Human
66,25,0,1356,Human
67,53,46,1357,Human
68,54,30,695,Human
69,55,36,331,Human
70,56,46,102,Human
71,57,30,815,Human
72,42,47,518,Human
73,52,36,872,Human
74,41,38,353,Human
75,58,48,543,Human
76,59,49,103,Human
77,60,48,572,Human
78,61,29,490,Human
79,44,36,1165,Human
80,62,50,527,Human
81,17,51,1596,Human
82,63,52,30,Human
83,64,48,953,Human
84,65,18,179,Human
85,64,12,109,Human
86,66,48,109,Human
87,31,53,733,Human
88,67,54,257,Human
89,68,15,823,Human
90,24,55,1033,Human
91,4,56,1450,Human
92,69,5,550,Human
93,70,1,1155,Human
94,42,57,1042,Human
95,71,58,1264,Human
96,72,48,1695,Human
97,31,59,1797,Human
98,36,48,242,Human
99,64,60,162,Human
100,21,24,1587,Human
101,13,15,499,Human
102,15,61,63,Human
103,73,1,1216,Human
104,62,25,1357,Human
105,74,48,397,Human
106,5,62,1079,Human
107,75,23,580,Human
108,76,63,179,Human
109,77,64,559,Human
110,78,12,1431,Human
111,64,65,1455,Human
112,79,66,537,Human
113,80,67,26,Human
114,81,62,189,Human
115,82,58,157,Human
116,73,68,176,Human
117,83,58,956,Human
118,16,69,460,Human
119,61,24,577,Human
120,84,25,415,Human
121,85,48,1539,Human
122,8,66,1628,Human
123,59,70,119,Human
124,74,71,463,Human
125,60,72,1452,Human
126,49,36,360,Human
127,39,54,1620,Human
128,64,73,168,Human
129,86,74,1616,Human
130,87,1,619,Human
131,88,71,473,Human
132,8,58,4,Human
133,34,70,868,Human
134,89,48,1701,Human
135,44,39,1045,Human
136,90,71,41,Human
137,91,6,1160,Human
138,92,75,1778,Human
139,93,76,1662,Human
140,94,1,1135,Human
141,31,77,932,Human
142,31,58,764,Human
143,7,48,407,Human
144,16,74,1190,Human
145,95,78,764,Human
146,96,79,479,Human
147,97,80,216,Human
148,98,66,1095,Human
149,98,66,296,Human
150,69,35,1587,Human
151,18,81,1572,Human
152,99,82,1320,Human
153,100,6,390,Human
154,93,83,1733,Human
155,101,39,1180,Human
156,102,24,1079,Human
157,34,70,611,Human
158,34,84,1586,Human
159,103,84,104,Human
160,104,85,351,Human
161,68,37,1234,Human
162,20,83,607,Human
163,15,35,1504,Human
164,36,29,1509,Human
165,15,86,674,Human
166,36,36,1408,Human
167,105,30,350,Human
168,67,87,1742,Human
169,106,0,377,Human
170,107,88,990,Human
171,88,37,777,Human
172,41,9,292,Human
173,42,21,1192,Human
174,30,89,1024,Human
175,108,1,1148,Human
176,36,37,910,Human
177,109,45,1082,Human
178,110,1,281,Human
179,36,36,324,Human
180,36,0,1481,Human
181,42,32,1398,Human
182,111,9,696,Human
183,112,36,80,Human
184,113,30,699,Human
185,36,90,902,Human
186,47,24,1438,Human
187,114,9,867,Human
188,53,29,582,Human
189,56,91,1482,Human
190,115,38,1559,Human
191,33,92,1706,Human
192,116,93,1453,Human
193,117,24,106,Human
194,12,36,553,Human
195,78,7,225,Human
196,8,63,1005,Human
197,103,30,1592,Human
198,118,1,178,Human
199,119,74,1631,Human
200,119,9,736,Human
201,120,1,287,Human
202,6,30,340,Human
203,36,1,645,Human
204,121,78,1611,Human
205,122,58,575,Human
206,39,6,1454,Human
207,105,72,1485,Human
208,87,94,1497,Human
209,70,95,165,Human
210,123,58,1074,Human
211,124,37,1481,Human
212,125,71,592,Human
213,126,78,779,Human
214,127,96,702,Human
215,128,74,1690,Human
216,49,71,1597,Human
217,129,97,1074,Human
218,12,48,1255,Human
219,20,98,1275,Human
220,93,99,492,Human
221,6,100,431,Human
222,130,48,1443,Human
223,131,29,235,Human
224,132,24,510,Human
