id,origin,destination,start_time,kind
0,0,0,1372,Human
1,1,1,1748,Human
2,2,2,704,Human
3,3,3,260,Human
4,4,4,417,Human
5,5,5,1381,Human
6,6,6,1111,Human
7,7,7,1514,Human
8,8,8,505,Human
9,9,9,1340,Human
10,10,10,208,Human
11,11,11,554,Human
12,12,12,1542,Human
13,13,13,1340,Human
14,14,14,1402,Human
15,15,15,71,Human
16,16,16,1361,Human
17,17,17,57,Human
18,18,18,1636,Human
19,19,16,1588,Human
20,2,14,146,Human
21,20,19,1437,Human
22,21,20,1396,Human
23,22,21,1287,Human
24,23,21,604,Human
25,24,22,1085,Human
26,25,23,1060,Human
27,26,24,1137,Human
28,5,25,262,Human
29,27,26,467,Human
30,28,27,1727,Human
31,29,28,522,Human
32,30,29,637,Human
33,31,30,680,Human
34,32,31,678,Human
35,33,32,95,Human
36,34,33,671,Human
37,35,34,219,Human
38,36,35,1423,Human
39,37,36,780,Human
40,38,37,1046,Human
41,39,38,305,Human
42,40,39,915,Human
43,41,40,835,Human
44,42,41,678,Human
45,43,42,683,Human
46,44,43,247,Human
47,45,44,773,Human
48,46,45,261,Human
49,1,46,265,Human
50,47,47,764,Human
51,48,48,394,Human
52,49,49,1031,Human
53,50,50,1221,Human
54,51,12,467,Human
55,0,51,1067,Human
56,52,52,811,Human
57,53,53,1099,Human
58,54,23,464,Human
59,55,54,1657,Human
60,56,55,304,Human
61,57,56,611,Human
62,2,57,933,Human
63,58,58,1298,Human
64,41,59,235,Human
65,55,60,1586,Human
66,59,35,242,Human
67,60,15,711,Human
68,61,9,1788,Human
69,62,61,1653,Human
70,10,62,510,Human
71,63,63,575,Human
72,64,64,1193,Human
73,55,26,1534,Human
74,28,65,126,Human
75,65,21,637,Human
76,66,66,997,Human
77,67,62,104,Human
78,68,18,769,Human
79,55,67,490,Human
80,53,68,445,Human
81,69,11,1368,Human
82,70,69,1425,Human
83,71,24,1382,Human
84,10,70,1002,Human
85,70,71,319,Human
86,72,72,1585,Human
87,73,73,1618,Human
88,22,74,126,Human
89,74,75,726,Human
90,75,76,777,Human
91,76,22,279,Human
92,9,43,560,Human
93,77,77,674,Human
94,78,7,1735,Human
95,29,12,1551,Human
96,5,78,838,Human
97,74,79,1157,Human
98,79,80,778,Human
99,80,33,1689,Human
100,81,81,625,Human
101,82,82,314,Human
102,83,83,1686,Human
103,84,84,1014,Human
104,85,85,595,Human
105,7,86,879,Human
106,86,38,513,Human
107,87,60,1553,Human
108,88,87,763,Human
109,58,74,1161,Human
110,24,88,875,Human
111,89,89,1714,Human
112,42,43,714,Human
113,90,90,1083,Human
114,91,83,959,Human
115,92,89,1017,Human
116,93,52,651,Human
117,94,91,785,Human
118,95,92,1340,Human
119,96,65,1033,Human
120,31,93,650,Human
121,97,54,908,Human
122,25,94,277,Human
123,98,0,1091,Human
124,99,95,394,Human
125,30,96,1422,Human
126,22,43,500,Human
127,24,97,441,Human
128,70,40,1041,Human
129,100,89,651,Human
130,101,98,184,Human
131,72,99,337,Human
132,102,100,287,Human
133,85,101,331,Human
134,103,85,1499,Human
135,104,69,786,Human
136,7,79,1086,Human
137,105,102,665,Human
138,3,103,930,Human
139,3,104,36,Human
140,106,105,547,Human
141,80,106,6,Human
142,107,107,1556,Human
143,16,108,41,Human
144,72,9,994,Human
145,108,87,1195,Human
146,85,109,608,Human
147,55,9,609,Human
148,109,110,901,Human
149,53,33,899,Human
150,39,111,299,Human
151,110,54,1059,Human
152,111,33,602,Human
153,28,112,309,Human
154,111,113,1143,Human
155,112,16,1171,Human
156,24,114,512,Human
157,113,35,187,Human
158,114,80,299,Human
159,58,83,418,Human
160,115,33,668,Human
161,67,115,927,Human
162,3,32,1648,Human
163,116,83,93,Human
164,3,116,693,Human
165,58,83,238,Human
166,117,33,1319,Human
167,118,83,16,Human
168,119,117,277,Human
169,120,118,683,Human
170,39,33,695,Human
171,114,75,1299,Human
172,121,33,332,Human
173,100,119,573,Human
174,10,75,137,Human
175,65,120,821,Human
176,22,33,1447,Human
177,9,121,1581,Human
178,22,87,1129,Human
179,5,122,704,Human
180,122,55,1290,Human
181,93,123,208,Human
182,73,14,1522,Human
183,110,78,72,Human
184,85,118,96,Human
185,98,52,558,Human
186,10,66,1073,Human
187,22,33,1344,Human
188,2,14,332,Human
189,123,84,1178,Human
190,22,124,322,Human
191,55,118,43,Human
192,124,125,410,Human
193,10,125,880,Human
194,56,77,131,Human
195,125,126,1307,Human
196,126,127,1259,Human
197,127,128,681,Human
198,128,44,1581,Human
199,85,129,1040,Human
200,22,130,1405,Human
201,129,131,634,Human
202,42,132,1164,Human
203,22,49,1075,Human
204,42,56,1575,Human
205,130,91,375,Human
206,131,111,1027,Human
207,132,133,1630,Human
208,65,69,675,Human
209,129,134,69,Human
210,30,135,140,Human
211,97,91,393,Human
212,20,33,1788,Human
213,133,98,862,Human
214,134,47,922,Human
215,28,98,1757,Human
216,135,136,227,Human
217,136,75,788,Human
218,137,9,80,Human
219,138,133,1352,Human
220,111,26,1100,Human
221,139,98,353,Human
222,140,137,700,Human
223,114,26,84,Human
224,20,138,812,Human
225,116,76,856,Human
226,64,139,802,Human
227,141,140,922,Human
228,142,141,367,Human
229,143,98,256,Human
230,27,32,77,Human
231,109,66,479,Human
232,144,142,717,Human
233,25,143,1617,Human
234,145,24,731,Human
235,57,144,691,Human
236,65,122,625,Human
237,146,26,807,Human
238,147,68,226,Human
239,65,123,580,Human
240,148,26,988,Human
241,149,33,945,Human
242,22,145,800,Human
243,128,146,362,Human
244,16,76,36,Human
245,65,26,1410,Human
246,150,147,1554,Human
247,97,73,38,Human
248,151,47,112,Human
249,85,148,1426,Human
250,152,149,357,Human
251,153,26,666,Human
252,127,150,868,Human
253,154,147,80,Human
254,155,147,216,Human
255,156,94,162,Human
256,157,151,1679,Human
257,158,152,1238,Human
258,65,76,1646,Human
259,159,33,878,Human
260,160,153,1374,Human
261,161,154,1513,Human
262,162,122,273,Human
263,35,155,241,Human
264,16,22,714,Human
265,163,125,1314,Human
266,164,133,74,Human
267,165,156,854,Human
268,166,33,1158,Human
269,78,157,572,Human
270,167,98,1374,Human
271,30,150,868,Human
272,97,76,1422,Human
273,86,33,56,Human
274,10,158,1638,Human
275,168,159,228,Human
276,169,160,1753,Human
277,170,161,1049,Human
278,2,0,250,Human
279,143,162,1539,Human
280,119,163,1724,Human
281,20,164,994,Human
282,163,15,163,Human
283,96,0,1661,Human
284,24,33,1012,Human
285,121,165,1132,Human
286,171,75,1599,Human
287,172,166,410,Human
288,173,167,839,Human
289,161,26,1799,Human
290,2,125,1393,Human
291,174,111,1745,Human
292,24,33,1477,Human
293,128,168,218,Human
294,93,47,203,Human
295,146,169,43,Human
296,42,165,465,Human
297,173,167,1358,Human
298,24,33,1252,Human
299,115,170,949,Human
300,23,33,1609,Human
301,139,171,155,Human
302,65,172,522,Human
303,175,89,1298,Human
304,176,173,336,Human
305,65,54,863,Human
306,177,174,1640,Human
307,129,175,758,Human
308,129,157,241,Human
309,178,176,1206,Human
310,2,98,72,Human
311,96,0,1,Human
312,172,177,181,Human
313,2,123,221,Human
314,2,128,1742,Human
315,65,178,1459,Human
316,52,179,1457,Human
317,2,32,86,Human
318,173,135,903,Human
319,179,55,215,Human
320,153,147,1442,Human
321,91,180,1432,Human
322,180,94,567,Human
323,128,95,911,Human
324,181,181,397,Human
325,182,182,1147,Human
326,151,69,1111,Human
327,58,73,126,Human
328,22,26,240,Human
329,149,117,1667,Human
330,30,183,214,Human
331,183,165,1158,Human
332,51,176,1544,Human
333,184,42,56,Human
334,58,14,1102,Human
335,65,120,1079,Human
336,185,144,951,Human
337,143,184,1429,Human
338,70,174,1224,Human
339,126,185,1504,Human
340,186,47,1299,Human
341,159,186,1776,Human
342,187,42,245,Human
343,30,187,369,Human
344,49,188,482,Human
345,188,189,1685,Human
346,189,190,5,Human
347,51,145,913,Human
348,90,6,1573,Human
349,190,191,1747,Human
350,191,14,210,Human
351,148,192,802,Human
352,192,118,414,Human
353,193,0,965,Human
354,194,193,334,Human
355,55,42,1022,Human
356,195,95,1284,Human
357,151,42,1436,Human
358,196,50,841,Human
359,109,194,1550,Human
360,22,94,675,Human
361,197,195,685,Human
362,121,196,813,Human
363,5,111,1721,Human
364,198,94,349,Human
365,22,180,1017,Human
366,22,197,1183,Human
367,68,79,1062,Human
368,139,198,44,Human
369,115,131,887,Human
370,104,83,1112,Human
371,199,199,13,Human
372,22,69,571,Human
373,28,73,1260,Human
374,189,122,1702,Human
375,69,68,421,Human
376,58,68,579,Human
377,109,119,329,Human
378,16,80,999,Human
379,200,200,796,Human
380,22,165,1090,Human
381,108,64,215,Human
382,39,122,908,Human
383,201,122,935,Human
384,202,101,84,Human
385,104,118,7,Human
386,203,101,1194,Human
387,71,184,1368,Human
388,109,32,740,Human
389,65,42,1301,Human
390,97,134,409,Human
391,100,64,266,Human
392,30,42,1151,Human
393,203,83,992,Human
394,30,87,585,Human
395,204,201,1349,Human
396,20,165,559,Human
397,2,80,1052,Human
398,42,68,303,Human
399,193,122,319,Human
400,205,202,341,Human
401,97,165,278,Human
402,20,165,801,Human
403,20,203,42,Human
404,206,47,1242,Human
405,207,14,743,Human
406,201,25,749,Human
407,207,204,1391,Human
408,24,87,991,Human
409,83,201,530,Human
410,70,89,1192,Human
411,208,41,1722,Human
412,209,205,1481,Human
413,109,47,162,Human
414,210,206,414,Human
415,16,0,1770,Human
416,65,64,250,Human
417,15,207,403,Human
418,211,16,561,Human
419,189,175,770,Human
420,58,208,1415,Human
421,24,192,552,Human
422,208,138,171,Human
423,162,102,1407,Human
424,212,41,1127,Human
425,213,209,1261,Human
426,71,137,763,Human
427,79,9,1333,Human
428,214,42,462,Human
429,215,210,689,Human
430,216,204,1349,Human
431,217,128,412,Human
432,144,54,1154,Human
433,218,115,1466,Human
434,219,0,481,Human
435,5,93,1381,Human
436,31,92,1,Human
437,179,98,413,Human
438,220,211,1230,Human
439,221,157,864,Human
440,222,212,789,Human
